epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.421,0.80164,1.48909,1.01145,0.96337,0.89831,0.96276,0.80274,0.65874,1.02338,0.86075,0.000660131,0.000660131,0.000660131
2,238.022,0.80726,0.92664,0.99814,0.93978,0.88983,0.96938,0.72481,0.849,1.04569,0.93186,0.00128301,0.00128301,0.00128301
3,347.283,0.82843,0.85894,1.02536,0.87517,0.9322,0.95477,0.79031,0.71467,0.94872,0.93405,0.0018619,0.0018619,0.0018619
4,451.529,0.79789,0.82414,1.01323,0.9248,0.93805,0.97326,0.76003,0.76454,0.93799,0.94776,0.001802,0.001802,0.001802
5,553.01,0.77566,0.80894,1.01,0.96839,0.91525,0.96599,0.78364,0.72171,0.93155,0.91967,0.001736,0.001736,0.001736
6,655.228,0.78137,0.77095,1.02789,0.98236,0.94387,0.97877,0.81874,0.66644,0.83364,0.89398,0.00167,0.00167,0.00167
7,757.353,0.72178,0.71784,0.99915,0.98276,0.96595,0.98086,0.84963,0.62224,0.69659,0.8635,0.001604,0.001604,0.001604
8,861.133,0.69652,0.66595,0.9851,0.96429,0.94068,0.97276,0.835,0.63641,0.70135,0.89648,0.001538,0.001538,0.001538
9,966.248,0.70992,0.62737,0.99882,0.96466,0.94068,0.98136,0.85062,0.59516,0.65877,0.87116,0.001472,0.001472,0.001472
10,1072.7,0.67592,0.60211,0.99006,0.94898,0.94915,0.97949,0.82931,0.61976,0.62469,0.88182,0.001406,0.001406,0.001406
11,1177.13,0.67928,0.60049,0.981,0.97305,0.91805,0.96568,0.83563,0.61106,0.61214,0.88275,0.00134,0.00134,0.00134
12,1280.89,0.62335,0.53376,0.97064,0.98148,0.94068,0.98496,0.85636,0.6018,0.56303,0.88499,0.001274,0.001274,0.001274
13,1384.82,0.61504,0.52548,0.96475,0.97345,0.94915,0.97236,0.82642,0.60033,0.56653,0.87095,0.001208,0.001208,0.001208
14,1487.7,0.5993,0.52486,0.96985,0.99121,0.95599,0.98259,0.85798,0.54157,0.50826,0.85653,0.001142,0.001142,0.001142
15,1589.88,0.61408,0.51116,0.9648,0.96624,0.97025,0.98956,0.86551,0.54453,0.50332,0.87885,0.001076,0.001076,0.001076
16,1694.9,0.60918,0.50908,0.96498,0.97323,0.95763,0.98459,0.87516,0.52493,0.51088,0.8721,0.00101,0.00101,0.00101
17,1799.2,0.59643,0.47484,0.96365,0.97165,0.95763,0.98645,0.86895,0.51552,0.45859,0.86374,0.000944,0.000944,0.000944
18,1903.42,0.5697,0.4548,0.93707,0.99121,0.95601,0.99114,0.87609,0.53395,0.44738,0.86498,0.000878,0.000878,0.000878
19,2006.21,0.5706,0.46133,0.94515,1,0.9556,0.99095,0.88308,0.50286,0.42818,0.85244,0.000812,0.000812,0.000812
20,2109.08,0.56025,0.43266,0.93641,1,0.95542,0.98868,0.87857,0.49698,0.41827,0.8496,0.000746,0.000746,0.000746
21,2211.38,0.48514,0.42247,0.86203,0.99949,0.95763,0.99302,0.89197,0.48761,0.41399,0.84174,0.00068,0.00068,0.00068
22,2314.61,0.47677,0.39271,0.86079,0.99764,0.97458,0.99434,0.90346,0.4895,0.40905,0.83938,0.000614,0.000614,0.000614
23,2418.97,0.47851,0.39032,0.85609,0.98843,0.98305,0.99307,0.89426,0.48401,0.40022,0.8365,0.000548,0.000548,0.000548
24,2520.33,0.44783,0.36646,0.85456,0.98288,0.97302,0.99303,0.87097,0.50665,0.39165,0.84343,0.000482,0.000482,0.000482
25,2626.13,0.45514,0.35683,0.85761,1,0.97932,0.99467,0.89275,0.46926,0.3735,0.83021,0.000416,0.000416,0.000416
26,2727.57,0.44082,0.35745,0.85754,0.99869,0.9661,0.99433,0.89322,0.47279,0.36325,0.83968,0.00035,0.00035,0.00035
27,2831.24,0.4389,0.34237,0.84938,0.99924,0.95763,0.99391,0.90231,0.4605,0.37227,0.83207,0.000284,0.000284,0.000284
28,2933.74,0.39767,0.32341,0.83986,0.9829,0.97441,0.99377,0.89902,0.45399,0.35181,0.83614,0.000218,0.000218,0.000218
29,3035.54,0.40992,0.32193,0.84295,0.98289,0.97339,0.99299,0.9048,0.43723,0.342,0.82324,0.000152,0.000152,0.000152
30,3138.45,0.38589,0.30473,0.82938,0.99129,0.96494,0.99301,0.90857,0.42639,0.33429,0.82574,8.6e-05,8.6e-05,8.6e-05
